iter	Passed	Remaining
408	2357	3406
409	2363	3400
410	2368	3394
411	2374	3388
412	2380	3383
413	2385	3376
414	2391	3370
415	2396	3364
416	2403	3359
417	2409	3354
418	2414	3347
419	2419	3341
420	2425	3336
421	2431	3330
422	2437	3324
423	2442	3318
424	2448	3312
425	2454	3307
426	2459	3301
427	2465	3295
428	2471	3289
429	2478	3284
430	2484	3280
431	2490	3275
432	2499	3272
433	2507	3270
434	2513	3265
435	2519	3259
436	2525	3254
437	2532	3249
438	2538	3244
439	2544	3238
440	2549	3232
441	2556	3227
442	2562	3222
443	2572	3221
444	2578	3215
445	2584	3210
446	2590	3204
447	2595	3198
448	2601	3192
449	2606	3186
450	2612	3179
451	2617	3173
452	2623	3167
453	2629	3162
454	2635	3157
455	2641	3151
456	2648	3146
457	2655	3142
458	2661	3136
459	2668	3132
460	2674	3126
461	2679	3120
462	2687	3116
463	2693	3111
464	2700	3106
465	2706	3100
466	2712	3095
467	2718	3090
468	2725	3085
469	2731	3080
470	2737	3074
471	2743	3069
472	2752	3067
473	2763	3067
474	2770	3062
475	2776	3056
476	2783	3051
477	2790	3047
478	2796	3041
479	2802	3035
480	2807	3029
481	2813	3023
482	2820	3018
483	2833	3020
484	2838	3014
485	2844	3008
486	2850	3003
487	2856	2997
488	2862	2991
489	2869	2986
490	2875	2980
491	2882	2976
492	2888	2970
493	2895	2965
494	2900	2959
495	2906	2953
496	2912	2947
497	2919	2942
498	2924	2936
499	2930	2930
500	2937	2925
501	2943	2920
502	2949	2914
503	2956	2909
504	2962	2903
505	2969	2898
506	2975	2893
507	2982	2888
508	2988	2882
509	2994	2877
510	3001	2871
511	3007	2866
512	3012	2859
513	3017	2853
514	3023	2847
515	3028	2840
516	3034	2834
517	3039	2828
518	3045	2822
519	3050	2816
520	3056	2809
521	3062	2804
522	3068	2798
523	3073	2792
524	3079	2785
525	3085	2780
526	3090	2774
527	3096	2768
528	3102	2762
529	3107	2755
530	3113	2749
531	3120	2744
532	3126	2738
533	3131	2733
534	3138	2728
535	3147	2724
536	3155	2720
537	3170	2722
538	3181	2720
539	3188	2715
540	3194	2710
541	3200	2704
542	3206	2698
543	3213	2693
544	3219	2688
545	3225	2682
546	3231	2676
547	3236	2669
548	3242	2663
549	3248	2658
550	3255	2652
551	3262	2647
552	3268	2641
553	3274	2635
554	3279	2629
555	3284	2623
556	3290	2616
557	3296	2611
558	3302	2605
559	3309	2600
560	3315	2594
561	3320	2587
562	3325	2581
563	3331	2575
564	3336	2568
565	3341	2562
566	3346	2555
567	3351	2549
568	3356	2542
569	3362	2536
570	3367	2529
571	3372	2523
572	3377	2517
573	3383	2510
574	3389	2505
575	3396	2499
576	3403	2495
577	3410	2489
578	3418	2485
579	3427	2481
580	3434	2476
581	3441	2471
582	3448	2466
583	3455	2461
584	3462	2456
585	3468	2450
586	3479	2448
587	3486	2443
588	3495	2438
589	3502	2433
590	3510	2429
591	3516	2423
592	3523	2418
593	3530	2412
594	3537	2407
595	3547	2404
596	3555	2400
597	3563	2395
598	3572	2391
599	3591	2394
600	3601	2390
601	3607	2385
602	3614	2379
603	3621	2374
604	3628	2368
605	3634	2363
606	3641	2357
607	3646	2351
608	3652	2345
609	3660	2340
610	3666	2334
611	3672	2328
612	3678	2322
613	3684	2316
614	3690	2310
615	3696	2304
616	3702	2298
617	3708	2292
618	3713	2285
619	3719	2279
620	3724	2273
621	3729	2266
622	3735	2260
623	3741	2254
624	3746	2247
625	3751	2241
626	3757	2235
627	3762	2228
628	3768	2222
629	3774	2217
630	3780	2210
631	3786	2204
632	3792	2198
633	3797	2192
634	3803	2186
635	3808	2179
636	3813	2173
637	3819	2167
638	3824	2160
639	3829	2154
640	3835	2148
641	3841	2141
642	3846	2135
643	3852	2129
644	3857	2123
645	3863	2116
646	3868	2110
647	3873	2104
648	3879	2098
649	3885	2092
650	3891	2085
651	3897	2080
652	3902	2073
653	3908	2067
654	3914	2061
655	3920	2056
656	3926	2049
657	3932	2043
658	3939	2038
659	3944	2032
660	3950	2026
661	3956	2020
662	3961	2013
663	3967	2007
664	3973	2001
665	3978	1995
666	3983	1988
667	3989	1982
668	3995	1976
669	4000	1970
670	4006	1964
671	4012	1958
672	4018	1952
673	4023	1946
674	4029	1939
675	4033	1933
676	4039	1927
677	4045	1921
678	4051	1915
679	4056	1908
680	4061	1902
681	4067	1896
682	4072	1890
683	4077	1883
684	4083	1878
685	4089	1871
686	4094	1865
687	4100	1859
688	4105	1853
689	4111	1846
690	4117	1841
691	4122	1834
692	4128	1828
693	4135	1823
694	4141	1817
695	4147	1811
696	4153	1805
697	4159	1799
698	4174	1797
699	4179	1791
700	4185	1785
701	4191	1779
702	4196	1772
703	4202	1766
704	4207	1760
705	4213	1754
706	4219	1748
707	4224	1742
708	4229	1736
709	4235	1729
710	4240	1723
711	4245	1717
712	4250	1711
713	4256	1704
714	4261	1698
715	4267	1692
716	4272	1686
717	4277	1680
718	4283	1673
719	4288	1667
720	4294	1661
721	4299	1655
722	4305	1649
723	4311	1643
724	4316	1637
725	4322	1631
726	4327	1625
727	4333	1619
728	4339	1613
729	4345	1607
730	4351	1601
731	4357	1595
732	4363	1589
733	4369	1583
734	4374	1577
735	4379	1570
736	4384	1564
737	4390	1558
738	4395	1552
739	4401	1546
740	4406	1540
741	4411	1534
742	4417	1527
743	4422	1521
744	4427	1515
745	4432	1509
746	4437	1502
747	4442	1496
748	4447	1490
749	4452	1484
750	4457	1478
751	4462	1471
752	4467	1465
753	4473	1459
754	4478	1453
755	4483	1447
756	4488	1440
757	4493	1434
758	4498	1428
759	4504	1422
760	4509	1416
761	4514	1410
762	4520	1404
763	4525	1398
764	4531	1391
765	4536	1385
766	4541	1379
767	4547	1373
768	4553	1367
769	4558	1361
770	4564	1355
771	4569	1349
772	4574	1343
773	4580	1337
774	4585	1331
775	4590	1325
776	4596	1319
777	4601	1313
778	4607	1307
779	4612	1300
780	4618	1294
781	4623	1289
782	4629	1282
783	4634	1276
784	4639	1270
785	4645	1264
786	4650	1258
787	4655	1252
788	4661	1246
789	4666	1240
790	4672	1234
791	4677	1228
792	4683	1222
793	4688	1216
794	4693	1210
795	4699	1204
796	4705	1198
797	4711	1192
798	4717	1186
799	4723	1180
800	4728	1174
801	4734	1168
802	4740	1163
803	4746	1157
804	4751	1151
805	4756	1144
806	4762	1138
807	4768	1133
808	4774	1127
809	4780	1121
810	4785	1115
811	4791	1109
812	4796	1103
813	4802	1097
814	4808	1091
815	4813	1085
816	4819	1079
817	4824	1073
818	4830	1067
819	4835	1061
820	4841	1055
821	4847	1049
822	4852	1043
823	4857	1037
824	4862	1031
825	4867	1025
826	4872	1019
827	4877	1013
828	4882	1007
829	4888	1001
830	4892	995
831	4898	989
832	4903	983
833	4908	977
834	4914	971
835	4920	965
836	4926	959
837	4931	953
838	4937	947
839	4943	941
840	4949	935
841	4954	929
842	4960	923
843	4965	917
844	4970	911
845	4975	905
846	4980	899
847	4986	893
848	4991	887
849	4996	881
850	5002	875
851	5007	869
852	5012	863
853	5017	857
854	5023	851
855	5028	845
856	5033	839
857	5039	834
858	5044	828
859	5049	822
860	5055	816
861	5060	810
862	5064	804
863	5070	798
864	5075	792
865	5080	786
866	5085	780
867	5090	774
868	5096	768
869	5102	762
870	5107	756
871	5112	750
872	5117	744
873	5123	738
874	5128	732
875	5133	726
876	5138	720
877	5144	714
878	5148	708
879	5153	702
880	5158	696
881	5163	690
882	5169	684
883	5173	678
884	5179	672
885	5184	667
886	5189	661
887	5194	655
888	5199	649
889	5204	643
890	5209	637
891	5215	631
892	5220	625
893	5225	619
894	5231	613
895	5236	607
896	5241	601
897	5246	595
898	5251	589
899	5256	584
900	5261	578
901	5267	572
902	5272	566
903	5277	560
904	5282	554
905	5287	548
906	5292	542
907	5297	536
908	5302	530
909	5307	524
910	5312	519
911	5318	513
912	5323	507
913	5328	501
914	5333	495
915	5339	489
916	5344	483
917	5349	477
918	5354	471
919	5358	465
920	5363	460
921	5368	454
922	5374	448
923	5379	442
924	5384	436
925	5390	430
926	5395	424
927	5399	418
928	5404	413
929	5410	407
930	5415	401
931	5420	395
932	5425	389
933	5430	383
934	5435	377
935	5440	372
936	5446	366
937	5451	360
938	5455	354
939	5460	348
940	5465	342
941	5471	336
942	5476	331
943	5481	325
944	5486	319
945	5491	313
946	5496	307
947	5502	301
948	5507	295
949	5511	290
950	5516	284
951	5521	278
952	5526	272
953	5531	266
954	5536	260
955	5541	255
956	5546	249
957	5551	243
958	5557	237
959	5561	231
960	5566	225
961	5571	220
962	5576	214
963	5581	208
964	5586	202
965	5591	196
966	5596	190
967	5601	185
968	5606	179
969	5611	173
970	5616	167
971	5621	161
972	5626	156
973	5631	150
974	5636	144
975	5641	138
976	5646	132
977	5651	127
978	5656	121
979	5660	115
980	5666	109
981	5671	103
982	5675	98
983	5680	92
984	5686	86
985	5691	80
986	5696	75
987	5701	69
988	5706	63
989	5711	57
990	5716	51
991	5722	46
992	5727	40
993	5732	34
994	5737	28
995	5742	23
996	5747	17
997	5752	11
998	5757	5
999	5762	0
